
Episode 3780, Pursuer Reward: 1362.22, Evader Reward: -1283.02, Capture Rate (last20): 0.95, Final Dist: 99.18
Episode 3800, Pursuer Reward: 1497.53, Evader Reward: -1395.00, Capture Rate (last20): 1.00, Final Dist: 98.49
Episode 3820, Pursuer Reward: 1305.08, Evader Reward: -1216.83, Capture Rate (last20): 1.00, Final Dist: 99.16
Episode 3840, Pursuer Reward: 1741.09, Evader Reward: -1611.61, Capture Rate (last20): 0.95, Final Dist: 98.36
Episode 3860, Pursuer Reward: 925.10, Evader Reward: -862.42, Capture Rate (last20): 1.00, Final Dist: 91.00
Episode 3880, Pursuer Reward: 782.91, Evader Reward: -757.49, Capture Rate (last20): 0.95, Final Dist: 99.96
Episode 3900, Pursuer Reward: 272.37, Evader Reward: -260.15, Capture Rate (last20): 0.95, Final Dist: 96.09
Episode 3920, Pursuer Reward: 1270.85, Evader Reward: -1207.39, Capture Rate (last20): 1.00, Final Dist: 98.52
Episode 3940, Pursuer Reward: 1188.13, Evader Reward: -1117.94, Capture Rate (last20): 0.95, Final Dist: 93.85
Episode 3960, Pursuer Reward: 1357.85, Evader Reward: -1276.73, Capture Rate (last20): 0.95, Final Dist: 97.98
Episode 3980, Pursuer Reward: 1027.03, Evader Reward: -972.15, Capture Rate (last20): 0.85, Final Dist: 95.66
Episode 4000, Pursuer Reward: 1698.27, Evader Reward: -1575.18, Capture Rate (last20): 0.90, Final Dist: 99.37
Episode 4020, Pursuer Reward: 1538.33, Evader Reward: -1444.96, Capture Rate (last20): 0.95, Final Dist: 96.42
Episode 4040, Pursuer Reward: -418.44, Evader Reward: 460.31, Capture Rate (last20): 1.00, Final Dist: 98.84
Episode 4060, Pursuer Reward: 1539.17, Evader Reward: -1479.54, Capture Rate (last20): 0.95, Final Dist: 99.58
Episode 4080, Pursuer Reward: 1565.24, Evader Reward: -1473.88, Capture Rate (last20): 1.00, Final Dist: 98.60
Episode 4100, Pursuer Reward: 1577.77, Evader Reward: -1472.30, Capture Rate (last20): 0.85, Final Dist: 96.03
Episode 4120, Pursuer Reward: 1368.07, Evader Reward: -1283.65, Capture Rate (last20): 0.95, Final Dist: 99.08
Episode 4140, Pursuer Reward: 1197.53, Evader Reward: -1121.70, Capture Rate (last20): 1.00, Final Dist: 99.20
Episode 4160, Pursuer Reward: 1470.37, Evader Reward: -1384.89, Capture Rate (last20): 0.95, Final Dist: 98.91
Episode 4180, Pursuer Reward: 995.15, Evader Reward: -924.04, Capture Rate (last20): 1.00, Final Dist: 96.06
Episode 4200, Pursuer Reward: 1109.19, Evader Reward: -1049.72, Capture Rate (last20): 0.80, Final Dist: 97.47
Episode 4220, Pursuer Reward: 1499.91, Evader Reward: -1405.65, Capture Rate (last20): 0.90, Final Dist: 99.15
Episode 4240, Pursuer Reward: 1547.46, Evader Reward: -1443.20, Capture Rate (last20): 1.00, Final Dist: 96.59
Episode 4260, Pursuer Reward: 1762.75, Evader Reward: -1631.95, Capture Rate (last20): 0.95, Final Dist: 98.65
Episode 4280, Pursuer Reward: 1522.05, Evader Reward: -1422.61, Capture Rate (last20): 0.95, Final Dist: 99.98
Episode 4300, Pursuer Reward: 1038.99, Evader Reward: -990.18, Capture Rate (last20): 0.95, Final Dist: 99.82
Episode 4320, Pursuer Reward: 1284.34, Evader Reward: -1214.11, Capture Rate (last20): 1.00, Final Dist: 97.34
Episode 4340, Pursuer Reward: 1564.57, Evader Reward: -1474.92, Capture Rate (last20): 1.00, Final Dist: 99.81
Episode 4360, Pursuer Reward: 390.25, Evader Reward: -366.48, Capture Rate (last20): 1.00, Final Dist: 99.82
Episode 4380, Pursuer Reward: 1057.07, Evader Reward: -1048.73, Capture Rate (last20): 1.00, Final Dist: 99.74
Episode 4400, Pursuer Reward: 1309.89, Evader Reward: -1229.47, Capture Rate (last20): 1.00, Final Dist: 99.62
Episode 4420, Pursuer Reward: 1586.20, Evader Reward: -1487.59, Capture Rate (last20): 0.80, Final Dist: 98.92
Episode 4440, Pursuer Reward: 1169.18, Evader Reward: -1111.42, Capture Rate (last20): 0.95, Final Dist: 98.42
Episode 4460, Pursuer Reward: 1447.22, Evader Reward: -1370.41, Capture Rate (last20): 1.00, Final Dist: 97.58
Episode 4480, Pursuer Reward: 872.13, Evader Reward: -809.82, Capture Rate (last20): 1.00, Final Dist: 97.21
Episode 4500, Pursuer Reward: 1541.36, Evader Reward: -1431.59, Capture Rate (last20): 1.00, Final Dist: 99.65
Episode 4520, Pursuer Reward: 1417.33, Evader Reward: -1348.78, Capture Rate (last20): 0.95, Final Dist: 97.31
Episode 4540, Pursuer Reward: 1366.58, Evader Reward: -1292.69, Capture Rate (last20): 0.85, Final Dist: 97.57
Episode 4560, Pursuer Reward: 1377.83, Evader Reward: -1314.08, Capture Rate (last20): 1.00, Final Dist: 97.22
Episode 4580, Pursuer Reward: 1281.49, Evader Reward: -1216.06, Capture Rate (last20): 0.95, Final Dist: 99.07
