Using device: cuda
开始训练...
Episode 1120, 追击星奖励: 1584.60, 逃逸星奖励: -1476.90, 平均捕获率 (last20): 0.90, 终端距离: 99.61, 终止原因: {'捕获': np.True_, '距离': np.float32(99.60875), '时间': 360.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1140, 追击星奖励: 1751.02, 逃逸星奖励: -1611.93, 平均捕获率 (last20): 0.95, 终端距离: 99.61, 终止原因: {'捕获': np.True_, '距离': np.float32(99.60683), '时间': 196.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1160, 追击星奖励: 1786.15, 逃逸星奖励: -1636.22, 平均捕获率 (last20): 1.00, 终端距离: 99.06, 终止原因: {'捕获': np.True_, '距离': np.float32(99.06234), '时间': 164.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1180, 追击星奖励: 1512.80, 逃逸星奖励: -1400.10, 平均捕获率 (last20): 1.00, 终端距离: 98.85, 终止原因: {'捕获': np.True_, '距离': np.float32(98.85066), '时间': 290.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1200, 追击星奖励: 1652.14, 逃逸星奖励: -1522.74, 平均捕获率 (last20): 1.00, 终端距离: 98.36, 终止原因: {'捕获': np.True_, '距离': np.float32(98.3592), '时间': 206.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1220, 追击星奖励: 1288.50, 逃逸星奖励: -1186.42, 平均捕获率 (last20): 0.95, 终端距离: 97.33, 终止原因: {'捕获': np.True_, '距离': np.float32(97.33282), '时间': 284.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1240, 追击星奖励: 1374.17, 逃逸星奖励: -1258.91, 平均捕获率 (last20): 1.00, 终端距离: 97.15, 终止原因: {'捕获': np.True_, '距离': np.float32(97.15063), '时间': 284.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1260, 追击星奖励: 1592.60, 逃逸星奖励: -1458.14, 平均捕获率 (last20): 1.00, 终端距离: 95.71, 终止原因: {'捕获': np.True_, '距离': np.float32(95.71449), '时间': 207.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1280, 追击星奖励: 1587.23, 逃逸星奖励: -1464.91, 平均捕获率 (last20): 1.00, 终端距离: 99.25, 终止原因: {'捕获': np.True_, '距离': np.float32(99.24887), '时间': 267.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1300, 追击星奖励: 1319.48, 逃逸星奖励: -1226.29, 平均捕获率 (last20): 0.95, 终端距离: 99.64, 终止原因: {'捕获': np.True_, '距离': np.float32(99.64442), '时间': 371.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1320, 追击星奖励: 1628.99, 逃逸星奖励: -1493.99, 平均捕获率 (last20): 0.95, 终端距离: 97.26, 终止原因: {'捕获': np.True_, '距离': np.float32(97.25839), '时间': 177.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
